אין שינוי,"U- אורבן
R-כפרי
לשנות לבינארי ","משרת אם
לשנות לבינארי עובד או לא","משרת אב 
לשנות לבינארי עובד או לא","איכות היחסים במשפחה
1 נמוך עד 5 גבוה"
sid,address,Mjob,Fjob,famrel
1,U,at_home,teacher,4
2,U,at_home,other,5
3,U,at_home,other,4
4,U,health,services,3
5,U,other,other,4
6,U,services,other,5
7,U,other,other,4
8,U,other,teacher,4
9,U,services,other,4
10,U,other,other,5
11,U,teacher,health,3
12,U,services,other,5
13,U,health,services,4
14,U,teacher,other,5
15,U,other,other,4
16,U,health,other,4
17,U,services,services,3
18,U,other,other,5
19,U,services,services,5
20,U,health,other,3
21,U,teacher,other,4
22,U,health,health,5
23,U,teacher,other,4
24,U,other,other,5
25,R,services,health,4
26,U,services,services,1
27,U,other,other,4
28,U,health,services,2
29,U,services,other,5
30,U,teacher,teacher,4
31,U,health,services,5
32,U,services,services,4
33,R,teacher,at_home,4
34,U,other,other,5
35,U,other,other,5
36,U,other,other,3
37,U,teacher,services,5
38,R,other,teacher,2
39,R,services,health,4
40,R,at_home,other,4
41,U,other,other,3
42,U,teacher,other,5
43,U,services,teacher,4
44,U,services,services,5
45,U,other,at_home,4
46,U,other,other,5
47,U,other,services,2
48,U,health,services,4
49,U,teacher,other,4
50,U,services,teacher,4
51,U,services,services,4
52,U,health,other,4
53,U,health,health,5
54,U,services,services,3
55,U,other,other,5
56,U,other,other,5
57,U,services,services,4
58,U,teacher,health,3
59,U,other,at_home,4
60,U,services,other,4
61,R,health,teacher,2
62,U,services,services,5
63,U,other,services,4
64,U,teacher,health,3
65,U,services,services,4
66,U,teacher,services,5
67,U,other,services,1
68,U,services,other,4
69,R,health,services,4
70,R,other,other,4
71,U,other,other,4
72,U,other,other,3
73,R,other,other,3
74,U,other,other,5
75,U,other,services,4
76,U,teacher,other,4
77,U,teacher,other,3
78,U,other,other,5
79,U,other,other,4
80,U,at_home,other,2
81,U,other,services,3
82,U,other,other,5
83,U,services,other,4
84,U,services,services,5
85,U,other,other,4
86,U,services,services,4
87,U,at_home,other,4
88,U,other,other,5
89,U,services,other,4
90,U,teacher,health,4
91,U,other,other,4
92,U,services,other,4
93,U,other,other,3
94,U,teacher,services,5
95,U,services,health,4
96,R,at_home,other,3
97,R,services,other,3
98,U,other,other,4
99,U,other,other,5
100,U,other,at_home,5
101,U,services,services,4
102,U,services,teacher,4
103,U,services,other,5
104,U,services,other,4
105,U,services,other,5
106,U,other,health,4
107,U,other,other,5
108,U,services,other,5
109,R,other,other,1
110,U,health,health,5
111,U,teacher,teacher,5
112,R,services,other,4
113,U,at_home,other,3
114,U,teacher,other,3
115,R,health,services,5
116,U,teacher,teacher,5
117,U,other,teacher,4
118,U,other,services,5
119,R,other,other,5
120,U,other,other,3
121,U,at_home,services,3
122,U,services,services,5
123,U,other,health,4
124,U,health,other,3
125,U,other,other,5
126,U,services,services,5
127,U,other,other,5
128,U,at_home,other,3
129,R,services,other,3
130,R,teacher,teacher,3
131,R,services,teacher,4
132,U,at_home,other,4
133,U,other,other,3
134,U,services,other,3
135,R,at_home,teacher,5
136,U,services,at_home,4
137,R,at_home,other,5
138,U,other,other,4
139,U,services,other,4
140,U,teacher,teacher,4
141,U,teacher,services,2
142,U,services,services,2
143,U,teacher,services,4
144,U,at_home,at_home,3
145,U,other,other,5
146,U,other,services,4
147,U,health,services,3
148,U,at_home,other,4
149,U,teacher,teacher,3
150,U,services,other,4
151,U,other,other,2
152,U,at_home,other,4
153,R,services,services,4
154,U,services,at_home,4
155,U,other,teacher,4
156,R,at_home,services,4
157,R,other,other,2
158,R,at_home,other,5
159,R,at_home,other,4
160,U,other,services,4
161,R,at_home,other,3
162,R,other,other,4
163,U,other,other,4
164,U,at_home,services,5
165,R,other,services,5
166,U,services,services,4
167,U,other,other,4
168,U,health,services,4
169,U,other,other,5
170,U,health,health,4
171,U,other,other,3
172,U,other,other,4
173,U,teacher,other,4
174,U,at_home,services,4
175,U,other,other,4
176,U,teacher,other,4
177,U,services,other,3
178,U,other,other,4
179,R,teacher,services,4
180,U,other,other,5
181,U,teacher,other,3
182,U,services,other,4
183,U,services,services,5
184,U,other,other,5
185,U,other,other,1
186,U,services,services,4
187,U,services,services,3
188,U,other,other,4
189,U,health,other,3
190,R,at_home,other,3
191,U,services,services,4
192,U,at_home,services,5
193,U,at_home,services,4
194,R,services,services,4
195,U,other,other,5
196,U,services,services,4
197,U,services,teacher,5
198,R,teacher,other,3
199,U,services,teacher,4
200,U,teacher,teacher,4
201,U,health,other,4
202,U,other,other,4
203,U,other,other,4
204,R,other,other,5
205,R,services,services,5
206,U,at_home,services,4
207,U,services,other,2
208,U,teacher,other,1
209,U,at_home,other,4
210,R,teacher,other,4
211,U,other,other,4
212,U,services,other,5
213,U,other,other,3
214,U,services,other,4
215,R,services,other,5
216,U,other,other,4
217,U,other,other,3
218,U,services,health,3
219,U,at_home,other,3
220,U,at_home,at_home,4
221,R,at_home,services,4
222,U,at_home,other,4
223,U,services,teacher,2
224,U,other,other,3
225,U,teacher,services,5
226,R,other,other,5
227,U,other,other,5
228,U,services,services,5
229,U,at_home,other,4
230,U,other,other,3
231,U,health,other,3
232,R,other,other,4
233,U,teacher,teacher,4
234,U,health,other,4
235,U,other,other,3
236,U,at_home,other,5
237,U,other,other,4
238,U,other,other,4
239,R,at_home,services,2
240,U,other,services,5
241,U,health,other,2
242,R,teacher,other,3
243,U,teacher,other,5
244,U,services,services,5
245,U,other,other,4
246,U,other,other,4
247,U,other,other,5
248,U,services,services,5
249,R,other,services,4
250,U,other,other,4
251,U,services,other,4
252,U,at_home,other,5
253,U,services,services,3
254,R,other,other,3
255,R,other,other,4
256,U,health,other,4
257,U,teacher,services,4
258,U,services,at_home,4
259,U,other,other,5
260,U,services,services,3
261,U,services,other,3
262,U,teacher,other,4
263,R,other,other,5
264,U,other,other,3
265,U,at_home,services,4
266,R,other,other,4
267,U,services,other,5
268,R,teacher,other,4
269,U,health,other,5
270,R,other,other,4
271,U,other,services,4
272,U,other,services,4
273,U,other,other,4
274,R,at_home,at_home,3
275,U,at_home,health,4
276,U,services,other,4
277,R,other,services,4
278,U,teacher,services,3
279,U,health,health,2
280,U,teacher,services,4
281,U,services,other,4
282,U,teacher,services,4
283,R,at_home,other,5
284,U,other,other,5
285,U,other,other,5
286,U,other,other,4
287,U,at_home,at_home,4
288,U,services,teacher,4
289,U,services,services,4
290,U,teacher,teacher,5
291,U,teacher,other,4
292,U,health,services,4
293,U,services,at_home,5
294,R,services,other,3
295,R,services,other,5
296,U,health,other,4
297,U,health,other,2
298,U,other,other,4
299,U,other,other,4
300,U,teacher,teacher,1
301,U,health,other,4
302,U,other,teacher,4
303,U,other,other,4
304,U,health,health,5
305,U,other,other,4
306,U,services,at_home,4
307,U,services,other,5
308,U,teacher,services,4
309,R,other,services,4
310,U,at_home,other,4
311,U,services,services,4
312,U,at_home,other,3
313,U,other,services,4
314,U,services,other,4
315,U,at_home,health,4
316,R,other,other,4
317,U,services,other,5
318,U,other,other,4
319,R,at_home,services,4
320,U,teacher,other,4
321,U,services,services,5
322,U,other,other,4
323,R,services,services,3
324,U,services,services,3
325,U,at_home,at_home,3
326,U,other,other,4
327,U,other,services,4
328,R,services,other,4
329,U,teacher,services,5
330,U,teacher,teacher,4
331,U,other,other,4
332,R,at_home,other,4
333,U,services,services,5
334,U,other,other,4
335,R,at_home,other,4
336,U,services,other,4
337,R,services,at_home,5
338,U,other,other,4
339,U,services,services,5
340,R,other,other,4
341,U,services,services,4
342,U,teacher,services,4
343,U,services,other,4
344,U,at_home,at_home,3
345,U,at_home,other,4
346,U,other,services,5
347,R,teacher,services,5
348,U,teacher,other,5
349,U,health,other,4
350,R,other,other,2
351,R,other,services,5
352,U,health,other,4
353,U,at_home,services,4
354,R,other,other,4
355,R,services,other,4
356,U,services,services,5
357,R,teacher,services,4
358,U,services,other,1
359,U,other,services,3
360,U,at_home,services,5
361,R,at_home,other,4
362,R,at_home,other,4
363,U,services,services,4
364,U,at_home,at_home,2
365,R,other,services,3
366,R,at_home,other,3
367,U,teacher,services,4
368,R,other,services,5
369,U,at_home,services,5
370,R,other,teacher,3
371,U,services,services,3
372,R,at_home,services,4
373,U,other,at_home,3
374,R,other,other,3
375,R,other,other,5
376,R,other,other,4
377,U,health,other,5
378,R,teacher,services,5
379,U,other,other,4
380,R,at_home,other,4
381,U,teacher,teacher,3
382,R,other,other,4
383,U,other,services,4
384,R,other,services,4
385,R,other,other,5
386,R,at_home,other,5
387,R,teacher,at_home,4
388,R,services,other,5
389,U,teacher,services,4
390,U,other,other,1
391,U,services,services,5
392,U,services,services,2
393,R,other,other,5
394,R,services,other,4
395,U,other,at_home,3
