,חוגים,האם נמצא במערכת יחסים,"שעות פנוי 
1-5 סובייקטיבי","האם יוצא עם חברים?
1-5 ","צריכת אלכוהל ביום חול
1-5","צריכת אלכוהל בסופש
1-5",מין,גיל,האם היה בגן רגיל,האם יש גישה לאינטרנט בבית,"מצב בריאותי
1-5","
1- פחות מ15 דק
2-15-30 דק
3- 30-60 דק'
4-מעל 60 דק","שעות למידה בשבוע - 
1 - פחות מ2
2- 2-5 
3 - 5-10 
4 - 10+",מספר הקורסים שנכשל הסטודנט,תמיכה חיצונית ללימודים,האם המשפחה עוזרת בלימודים,האם לוקח שיעורי העשרה בתשלום,מעוניין בלימודים אקדמיים,"היעדרויות
",ציון מחצית 1,ציון מחצית 2,"ציון סופי
0-20"
id,activities,romantic,freetime,goout,Dalc,Walc,sex,age,nursery,internet,health,traveltime,studytime,failures,schoolsup,famsup,paid,higher,absences,G1,G2,G3
1,no,no,3,4,1,1,F,18,yes,no,3,2,2,0,yes,no,no,yes,6,5,6,6
2,no,no,3,3,1,1,F,17,no,yes,3,1,2,0,no,yes,no,yes,4,5,5,6
3,no,no,3,2,2,3,F,15,yes,yes,3,1,2,3,yes,no,yes,yes,10,7,8,10
4,yes,yes,2,2,1,1,F,15,yes,yes,5,1,3,0,no,yes,yes,yes,2,15,14,15
5,no,no,3,2,1,2,F,16,yes,no,5,1,2,0,no,yes,yes,yes,4,6,10,10
6,yes,no,4,2,1,2,M,16,yes,yes,5,1,2,0,no,yes,yes,yes,10,15,15,15
7,no,no,4,4,1,1,M,16,yes,yes,3,1,2,0,no,no,no,yes,0,12,12,11
8,no,no,1,4,1,1,F,17,yes,no,1,2,2,0,yes,yes,no,yes,6,6,5,6
9,no,no,2,2,1,1,M,15,yes,yes,1,1,2,0,no,yes,yes,yes,0,16,18,19
10,yes,no,5,1,1,1,M,15,yes,yes,5,1,2,0,no,yes,yes,yes,0,14,15,15
11,no,no,3,3,1,2,F,15,yes,yes,2,1,2,0,no,yes,yes,yes,0,10,8,9
12,yes,no,2,2,1,1,F,15,yes,yes,4,3,3,0,no,yes,no,yes,4,10,12,12
13,yes,no,3,3,1,3,M,15,yes,yes,5,1,1,0,no,yes,yes,yes,2,14,14,14
14,no,no,4,3,1,2,M,15,yes,yes,3,2,2,0,no,yes,yes,yes,2,10,10,11
15,no,yes,5,2,1,1,M,15,yes,yes,3,1,3,0,no,yes,no,yes,0,14,16,16
16,no,no,4,4,1,2,F,16,yes,yes,2,1,1,0,no,yes,no,yes,4,14,14,14
17,yes,no,2,3,1,2,F,16,yes,yes,2,1,3,0,no,yes,yes,yes,6,13,14,14
18,yes,no,3,2,1,1,F,16,yes,no,4,3,2,0,yes,yes,no,yes,4,8,10,10
19,yes,no,5,5,2,4,M,17,yes,yes,5,1,1,3,no,yes,no,yes,16,6,5,5
20,yes,no,1,3,1,3,M,16,yes,yes,5,1,1,0,no,no,yes,yes,4,8,10,10
21,no,no,4,1,1,1,M,15,yes,yes,1,1,2,0,no,no,no,yes,0,13,14,15
22,no,no,4,2,1,1,M,15,yes,yes,5,1,1,0,no,yes,yes,yes,0,12,15,15
23,yes,no,5,1,1,3,M,16,yes,yes,5,1,2,0,no,no,no,yes,2,15,15,16
24,yes,no,4,4,2,4,M,16,yes,yes,5,2,2,0,no,yes,no,yes,0,13,13,12
25,yes,no,3,2,1,1,F,15,yes,yes,5,1,3,0,yes,yes,yes,yes,2,10,9,8
26,no,no,2,2,1,3,F,16,no,yes,5,1,1,2,no,yes,yes,yes,14,6,9,8
27,no,no,2,2,1,2,M,15,yes,yes,5,1,1,0,no,yes,yes,yes,2,12,12,11
28,no,no,2,4,2,4,M,15,yes,yes,1,1,1,0,no,no,yes,yes,4,15,16,15
29,yes,no,3,3,1,1,M,16,yes,yes,5,1,2,0,yes,yes,no,yes,4,11,11,11
30,yes,yes,4,5,5,5,M,16,yes,yes,5,1,2,0,no,yes,yes,yes,16,10,12,11
31,no,no,4,2,3,4,M,15,no,yes,5,1,2,0,no,yes,yes,yes,0,9,11,12
32,yes,no,3,1,1,1,M,15,yes,yes,5,2,2,0,no,yes,no,yes,0,17,16,17
33,yes,yes,5,2,1,1,M,15,yes,yes,5,1,2,0,no,yes,no,yes,0,17,16,16
34,yes,no,3,2,1,1,M,15,no,yes,2,1,2,0,no,no,no,yes,0,8,10,12
35,no,no,4,3,1,1,M,16,no,yes,5,1,1,0,no,yes,yes,yes,0,12,14,15
36,yes,no,5,1,1,1,F,15,yes,no,5,2,1,0,no,yes,no,yes,0,8,7,6
37,yes,no,4,3,1,1,M,15,yes,yes,4,1,3,0,no,yes,no,yes,2,15,16,18
38,yes,yes,4,3,1,1,M,16,yes,yes,5,2,3,0,no,yes,no,yes,7,15,16,15
39,yes,no,3,2,1,1,F,15,yes,yes,5,1,3,0,yes,yes,yes,yes,2,12,12,11
40,yes,no,3,1,1,1,F,15,yes,no,2,1,1,0,yes,yes,yes,yes,8,14,13,13
41,yes,yes,3,3,1,2,F,16,no,yes,3,2,2,1,no,yes,no,yes,25,7,10,11
42,no,yes,4,3,2,4,M,15,no,yes,5,1,1,0,no,yes,no,yes,8,12,12,12
43,yes,no,3,3,1,1,M,15,yes,yes,5,1,2,0,no,yes,no,yes,2,19,18,18
44,no,no,4,1,1,1,M,15,yes,yes,1,1,1,0,yes,yes,no,yes,0,8,8,11
45,yes,no,3,3,2,2,F,16,yes,yes,5,2,2,1,yes,no,no,yes,14,10,10,9
46,yes,yes,2,2,1,1,F,15,yes,yes,5,1,2,0,yes,yes,yes,yes,8,8,8,6
47,no,no,3,5,1,4,F,16,yes,yes,3,1,2,0,no,yes,no,yes,12,11,12,11
48,yes,no,2,2,1,1,M,16,yes,yes,2,1,4,0,no,no,no,yes,4,19,19,20
49,no,no,3,3,2,2,M,15,yes,no,5,1,2,0,no,yes,yes,yes,2,15,15,14
50,yes,no,4,4,1,1,F,15,no,yes,3,1,2,1,yes,yes,no,yes,2,7,7,7
51,no,no,3,3,2,3,F,16,yes,yes,4,3,2,0,no,yes,yes,yes,2,12,13,13
52,no,no,3,3,1,1,F,15,yes,yes,5,1,2,0,no,yes,yes,yes,2,11,13,13
53,no,no,5,5,3,4,M,15,yes,no,5,2,1,1,no,no,no,yes,6,11,11,10
54,no,no,3,4,2,3,F,15,yes,yes,5,1,1,0,yes,yes,yes,yes,0,8,10,11
55,no,no,3,4,4,4,F,15,yes,yes,1,1,1,0,no,no,yes,yes,6,10,13,13
56,yes,yes,3,4,1,1,F,16,yes,yes,2,1,2,0,no,no,yes,yes,8,8,9,10
57,yes,no,3,2,1,1,F,15,yes,yes,1,1,2,0,no,yes,yes,yes,0,14,15,15
58,yes,no,2,2,1,1,M,15,yes,no,5,1,2,0,no,yes,no,yes,4,14,15,15
59,yes,no,3,2,1,1,M,15,yes,yes,5,1,2,0,yes,yes,no,yes,2,9,10,9
60,no,no,2,3,1,1,F,16,yes,yes,5,1,2,0,no,yes,no,yes,2,15,16,16
61,yes,no,4,4,2,3,F,16,yes,no,4,1,2,0,no,yes,no,yes,6,10,11,11
62,yes,yes,5,5,5,5,F,16,no,yes,5,4,1,0,yes,yes,no,yes,6,10,8,11
63,yes,no,4,3,1,1,F,16,yes,yes,1,1,2,0,yes,no,no,yes,4,8,10,9
64,yes,no,4,4,2,4,F,16,yes,yes,4,1,3,0,yes,yes,yes,yes,2,10,9,9
65,yes,yes,4,4,2,4,F,15,yes,yes,2,1,2,0,yes,no,no,yes,0,10,10,10
66,yes,no,4,3,1,2,F,16,yes,yes,1,3,2,0,no,yes,no,yes,2,16,15,15
67,yes,yes,3,3,5,5,M,15,no,yes,3,1,4,0,no,yes,no,yes,4,13,13,12
68,no,no,3,3,1,2,F,16,yes,yes,5,1,4,0,yes,yes,yes,yes,4,7,7,6
69,no,no,1,3,1,3,F,15,yes,yes,4,2,2,0,yes,yes,yes,yes,2,8,9,8
70,no,no,4,2,2,3,F,15,no,yes,3,2,4,0,no,yes,no,yes,12,16,16,16
71,no,no,3,2,1,1,M,16,yes,yes,5,2,4,0,no,yes,yes,yes,0,13,15,15
72,no,no,3,3,1,1,M,15,yes,yes,3,1,4,0,no,no,no,yes,0,10,10,10
73,no,yes,3,4,2,4,F,15,no,yes,5,1,2,2,yes,yes,no,yes,2,8,6,5
74,yes,no,3,2,2,2,M,16,yes,no,5,1,1,0,no,no,no,yes,2,12,12,14
75,yes,no,3,3,2,4,F,16,yes,yes,5,1,2,0,yes,yes,yes,yes,54,11,12,11
76,yes,no,3,3,2,3,M,15,yes,yes,5,1,2,0,no,yes,yes,yes,6,9,9,10
77,yes,no,4,3,1,1,M,15,yes,yes,1,2,4,0,no,no,no,yes,8,11,11,10
78,no,yes,2,3,1,3,F,16,yes,yes,3,1,4,0,no,no,yes,yes,0,11,11,11
79,yes,no,5,1,1,1,M,17,yes,yes,3,2,1,3,yes,yes,no,no,2,8,8,10
80,no,no,4,3,1,2,F,16,yes,yes,3,1,2,0,no,yes,no,yes,12,5,5,5
81,yes,yes,2,2,1,3,M,15,no,yes,3,1,1,0,yes,yes,yes,yes,2,10,12,12
82,no,no,3,2,1,2,M,15,no,yes,5,1,3,0,yes,no,yes,yes,4,11,10,11
83,no,no,4,4,1,1,F,15,yes,yes,5,1,2,0,no,yes,yes,yes,10,7,6,6
84,yes,no,3,3,1,3,M,15,yes,yes,4,2,2,0,no,no,yes,yes,4,15,15,15
85,yes,no,3,2,2,3,F,15,no,yes,4,1,2,0,no,yes,no,yes,2,9,10,10
86,no,yes,4,4,2,3,F,15,yes,yes,5,2,2,2,no,no,yes,yes,6,7,9,8
87,no,no,3,4,1,2,F,16,yes,no,2,1,2,0,no,yes,no,yes,4,8,7,6
88,yes,no,3,3,1,3,F,15,yes,yes,1,1,3,0,no,yes,no,yes,4,13,14,14
89,yes,no,4,2,1,1,M,16,no,yes,3,2,2,1,no,no,yes,yes,12,11,10,10
90,no,no,1,3,3,5,M,16,yes,no,5,1,2,0,no,yes,no,yes,18,8,6,7
91,no,yes,3,3,1,3,F,16,yes,yes,4,1,3,0,no,yes,yes,yes,0,7,7,8
92,yes,no,5,5,1,3,F,15,yes,yes,1,1,1,0,no,no,yes,yes,4,16,17,18
93,no,no,3,3,2,3,F,16,yes,no,2,1,2,0,yes,yes,no,yes,4,7,6,6
94,yes,no,3,3,1,1,F,16,yes,yes,1,2,2,0,no,yes,yes,yes,0,11,10,10
95,yes,no,3,4,1,1,M,15,yes,yes,4,1,4,0,no,yes,no,yes,6,11,13,14
96,yes,no,1,2,1,1,F,15,yes,yes,1,2,4,1,yes,yes,yes,yes,2,7,10,10
97,yes,no,3,3,1,1,M,16,no,yes,4,2,1,0,yes,yes,no,yes,2,11,15,15
98,no,yes,3,5,1,1,F,16,yes,no,5,1,2,0,no,yes,yes,yes,2,8,9,10
99,yes,no,3,4,1,2,F,16,no,yes,1,1,1,0,no,no,no,yes,6,11,14,14
100,no,no,3,5,1,1,F,16,yes,yes,3,1,3,0,yes,yes,yes,yes,0,7,9,8
101,yes,no,5,5,5,5,M,16,yes,yes,4,1,1,0,yes,yes,yes,yes,14,7,7,5
102,yes,yes,4,3,1,1,M,16,yes,yes,4,1,3,0,no,yes,no,yes,0,16,17,17
103,yes,no,3,3,1,1,M,15,no,yes,5,1,1,0,no,yes,no,yes,4,10,13,14
104,no,no,3,5,1,1,F,15,yes,yes,2,2,2,0,yes,yes,yes,yes,26,7,6,6
105,yes,no,4,4,1,1,M,15,yes,yes,1,1,2,0,no,yes,yes,yes,0,16,18,18
106,no,no,3,3,1,1,F,15,yes,no,4,1,4,0,yes,no,no,yes,10,10,11,11
107,no,no,1,2,1,1,F,15,yes,yes,3,1,4,0,yes,yes,yes,yes,8,7,8,8
108,yes,no,3,3,1,1,M,16,yes,yes,5,1,3,0,no,yes,no,yes,2,16,18,18
109,yes,yes,3,5,3,5,M,15,yes,yes,1,4,4,0,no,yes,yes,yes,6,10,13,13
110,yes,yes,4,5,1,1,F,16,yes,yes,4,1,3,0,no,yes,yes,yes,4,14,15,16
111,yes,no,5,3,1,1,M,15,yes,yes,4,1,1,0,no,no,no,yes,6,18,19,19
112,yes,no,1,2,1,1,F,16,yes,yes,2,1,3,1,yes,yes,no,yes,0,7,10,10
113,yes,no,1,2,1,1,F,16,yes,yes,5,1,2,1,yes,no,no,yes,6,10,13,13
114,no,no,5,2,1,1,M,15,yes,yes,3,1,1,0,no,no,no,yes,10,18,19,19
115,yes,yes,4,2,1,1,M,15,yes,yes,5,1,2,0,no,no,no,yes,8,9,9,9
116,yes,no,4,4,1,2,M,16,yes,yes,5,1,2,0,no,yes,no,yes,2,15,15,16
117,yes,no,4,3,1,1,M,15,yes,no,2,2,2,0,no,yes,no,yes,2,11,13,14
118,yes,no,4,2,1,1,M,16,yes,yes,5,2,1,0,no,no,no,yes,0,13,14,13
119,yes,no,2,4,1,4,M,17,yes,yes,5,3,2,1,no,yes,no,yes,20,9,7,8
120,no,no,4,3,1,2,M,15,yes,yes,4,1,1,0,no,no,no,yes,6,14,13,13
121,no,no,2,3,1,2,F,15,no,yes,1,1,2,0,no,no,no,yes,2,16,15,15
122,yes,no,5,4,1,2,M,15,yes,yes,5,1,4,0,no,yes,yes,yes,6,16,14,15
123,yes,yes,2,2,1,2,F,16,yes,yes,5,2,2,0,no,yes,yes,yes,2,13,13,13
124,yes,no,4,4,1,4,M,16,yes,yes,5,1,1,0,no,yes,no,yes,18,14,11,13
125,no,yes,4,4,1,1,F,16,yes,yes,5,1,2,0,no,no,yes,yes,0,8,7,8
126,no,no,5,5,3,2,M,15,yes,yes,5,1,1,0,yes,no,no,yes,0,13,13,12
127,yes,yes,3,2,1,1,F,15,yes,yes,1,1,2,0,yes,no,no,yes,0,7,10,11
128,no,no,4,2,1,1,F,19,no,no,5,1,2,3,no,yes,no,no,2,7,8,9
129,yes,no,3,3,1,2,M,18,yes,yes,4,1,1,2,no,yes,no,yes,0,7,4,0
130,yes,no,5,5,2,5,M,16,yes,yes,4,1,1,0,no,no,yes,yes,8,18,18,18
131,no,yes,2,2,2,2,F,15,yes,yes,5,2,3,2,no,yes,no,yes,0,12,0,0
132,yes,yes,3,3,1,2,F,15,no,yes,4,3,1,0,no,yes,no,yes,0,8,0,0
133,no,yes,4,4,1,3,F,17,yes,yes,5,1,1,0,no,yes,no,yes,12,10,13,12
134,no,no,2,1,1,4,F,16,yes,yes,5,1,1,0,no,no,no,yes,16,12,11,11
135,no,yes,3,3,1,1,M,15,yes,no,5,4,2,0,no,yes,no,yes,0,9,0,0
136,yes,yes,3,3,1,1,F,15,yes,yes,5,1,3,0,no,yes,no,yes,0,11,0,0
137,no,no,4,5,2,4,M,17,yes,no,5,3,2,0,no,no,no,yes,0,10,0,0
138,yes,yes,3,2,1,1,F,16,no,yes,5,2,1,2,no,yes,no,yes,0,4,0,0
139,no,yes,4,4,1,3,M,16,yes,no,5,1,2,1,no,no,no,yes,0,14,12,12
140,yes,no,3,2,1,1,F,15,yes,yes,5,2,1,0,no,no,no,yes,0,16,16,15
141,no,no,2,2,1,1,M,15,yes,yes,3,2,4,0,yes,yes,no,yes,0,7,9,0
142,yes,no,3,3,2,2,M,16,yes,yes,2,2,1,2,no,yes,no,yes,8,9,9,9
143,yes,no,2,2,1,1,F,15,yes,yes,5,1,3,0,no,yes,yes,yes,2,9,11,11
144,no,no,4,4,3,3,F,16,yes,yes,1,1,1,0,no,no,no,yes,2,14,14,13
145,no,no,4,5,1,2,M,17,yes,yes,5,1,1,3,no,yes,no,yes,0,5,0,0
146,no,no,4,2,1,2,F,15,yes,yes,5,1,2,0,no,yes,yes,yes,0,8,11,11
147,no,no,3,2,1,1,F,15,yes,yes,3,1,2,3,no,yes,no,yes,0,6,7,0
148,no,no,3,2,1,1,F,15,no,yes,5,1,2,0,no,yes,yes,yes,2,10,11,11
149,no,yes,3,2,2,1,M,16,yes,yes,5,1,1,0,no,yes,no,no,0,7,6,0
150,no,no,5,5,2,5,M,15,yes,yes,5,4,1,3,no,no,no,yes,0,8,9,10
151,no,yes,3,5,2,5,M,18,yes,yes,4,1,1,3,no,no,no,no,0,6,5,0
152,yes,yes,4,4,3,5,M,16,yes,no,5,1,1,1,no,no,no,yes,6,12,13,14
153,yes,yes,2,1,2,3,F,15,yes,yes,3,2,3,2,no,yes,yes,yes,8,10,10,10
154,no,yes,5,4,1,1,M,19,yes,yes,4,1,1,3,no,yes,no,no,0,5,0,0
155,no,yes,2,1,1,1,F,17,yes,no,4,1,1,0,yes,yes,no,yes,0,11,11,12
156,yes,no,4,4,1,1,M,15,yes,no,1,1,2,0,yes,no,yes,yes,2,11,8,8
157,no,no,2,2,3,3,M,17,yes,no,5,1,1,0,no,no,no,yes,8,16,12,13
158,yes,no,2,5,1,5,F,18,no,no,4,3,1,3,no,yes,no,yes,6,9,8,10
159,no,no,2,2,1,2,M,16,no,no,3,3,1,0,no,no,no,yes,2,17,15,15
160,no,yes,5,5,4,4,M,16,yes,yes,5,1,2,1,no,yes,yes,yes,4,10,12,12
161,yes,yes,3,2,2,2,M,17,yes,yes,5,2,1,2,no,no,no,no,0,7,6,0
162,no,yes,4,4,1,4,M,15,yes,yes,3,2,2,2,yes,yes,no,yes,6,5,9,7
163,yes,no,4,4,2,4,M,16,yes,no,5,2,1,1,no,no,no,yes,0,7,0,0
164,no,no,3,3,1,4,M,17,yes,yes,2,1,1,0,no,no,no,no,2,10,10,10
165,yes,yes,3,5,1,5,M,17,yes,no,5,4,2,3,no,no,no,no,0,5,8,7
166,yes,no,5,2,1,1,M,16,no,no,2,2,1,1,no,yes,no,no,16,12,11,12
167,no,no,3,5,2,4,M,16,yes,yes,4,1,2,0,no,no,no,no,4,10,10,10
168,no,yes,2,3,1,1,F,16,yes,yes,3,1,2,0,no,no,yes,yes,0,14,15,16
169,no,no,1,5,1,1,F,16,no,yes,4,1,2,0,no,yes,yes,yes,0,6,7,0
170,no,yes,4,2,1,1,F,16,yes,yes,3,1,2,0,no,yes,yes,yes,0,14,14,14
171,yes,no,4,5,2,4,M,16,no,yes,2,3,1,2,no,yes,no,yes,0,6,5,0
172,yes,yes,3,2,1,1,M,16,yes,yes,3,2,2,0,no,yes,yes,yes,2,13,15,16
173,yes,no,4,4,1,3,M,17,yes,yes,5,1,2,0,no,yes,yes,yes,0,13,11,10
174,yes,yes,3,5,1,1,F,16,no,yes,3,1,2,3,no,no,no,yes,0,8,7,0
175,yes,no,4,5,1,1,F,16,yes,yes,4,2,2,0,no,yes,yes,yes,4,10,11,9
176,yes,no,4,4,4,4,M,17,yes,yes,4,2,2,0,no,no,yes,yes,4,10,9,9
177,yes,no,4,4,1,4,F,16,no,yes,5,2,2,0,no,no,yes,yes,2,13,13,11
178,yes,no,3,4,1,4,M,17,no,yes,4,1,2,0,no,no,no,yes,4,6,5,6
179,yes,yes,3,3,3,4,M,16,yes,yes,3,1,1,0,no,yes,no,yes,10,10,8,9
180,yes,yes,2,3,1,1,M,17,yes,yes,2,1,2,0,no,yes,no,yes,4,10,10,11
181,yes,no,4,3,2,3,M,16,yes,yes,3,1,2,0,no,yes,yes,yes,10,9,8,8
182,yes,yes,2,3,1,2,M,16,yes,yes,3,1,2,0,no,no,yes,yes,2,12,13,12
183,yes,no,4,2,2,3,F,17,yes,no,5,1,2,0,no,yes,no,yes,0,16,17,17
184,yes,yes,3,3,2,3,F,17,yes,yes,1,1,2,0,no,yes,no,yes,56,9,9,8
185,no,no,2,2,1,2,F,16,yes,yes,1,1,2,0,no,yes,yes,yes,14,12,13,12
186,yes,yes,3,4,2,3,M,17,yes,yes,4,1,2,0,no,yes,no,yes,12,12,12,11
187,yes,yes,3,3,1,2,M,16,yes,yes,3,1,1,0,no,yes,yes,yes,2,11,12,11
188,yes,yes,2,3,1,2,M,16,yes,yes,5,1,2,0,no,no,yes,yes,0,15,15,15
189,no,yes,3,3,1,3,F,17,no,yes,3,1,2,0,no,yes,no,yes,6,8,7,9
190,no,no,1,3,1,5,M,17,yes,no,3,1,2,0,no,no,no,yes,4,8,9,10
191,no,no,3,3,1,1,F,16,yes,yes,2,1,2,0,no,no,no,yes,10,11,12,13
192,yes,no,3,3,1,1,F,17,yes,yes,3,1,2,0,no,no,no,yes,0,8,8,9
193,yes,no,4,4,4,5,M,17,no,yes,5,2,2,0,no,no,yes,yes,12,7,8,8
